ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted
973,2,Red Hat Robbers,87,TeamJaws,Chris Clark,person,mjs6359,27,10/27/2015-11:47:05,mjs6359,27,10/27/2015-11:47:05,FALSE
975,2,Red Hat Robbers,77,Caught red-handed,Chris Clark,person,LorenzoAuffant,54,10/27/2015-11:47:26,LorenzoAuffant,54,10/27/2015-11:47:26,FALSE
976,2,Red Hat Robbers,87,TeamJaws,man,person,epm5108,61,10/27/2015-11:47:33,mjs6359,27,10/29/2015-12:01:14,FALSE
977,2,Red Hat Robbers,79,JMN 231,Erin Hecker,person,MattSebright20,140,10/27/2015-11:47:33,MattSebright20,140,10/27/2015-11:47:33,FALSE
978,2,Red Hat Robbers,79,JMN 231,Suspect seen approaching the bank from Patton Ln,event,jpz5064,139,10/27/2015-11:47:36,jpz5064,139,10/27/2015-12:11:04,FALSE
979,2,Red Hat Robbers,82,Analyticats,Jersey Shore Bank,location,PatrickAugust,46,10/27/2015-11:47:40,Emelendez89,153,10/30/2015-12:17:50,FALSE
980,2,Red Hat Robbers,83,GracieAbeMacy,so I can‰Ûªt describe him except to the red hat; oh and I think he had a hunting jacket on; one of those red and black checkered ones,person,rop5144,131,10/27/2015-11:47:41,rop5144,131,11/01/2015-17:16:50,FALSE
981,2,Red Hat Robbers,101,Team DJZ,Jersey Shore Bank,location,zmp5032,157,10/27/2015-11:47:47,zmp5032,157,10/27/2015-12:24:49,FALSE
982,2,Red Hat Robbers,85,Team CMP,a lone white male (LWM),person,mikemorelli,132,10/27/2015-11:47:54,cjs1161,148,10/29/2015-11:46:56,TRUE
983,2,Red Hat Robbers,78,The Mystery Gang,Sovereign Bank,location,jsm5561,25,10/27/2015-11:47:57,jsm5561,25,10/27/2015-12:00:00,FALSE
984,2,Red Hat Robbers,83,GracieAbeMacy,a lone white male (LWM),person,rop5144,131,10/27/2015-11:48:00,rop5144,131,10/27/2015-12:25:08,FALSE
985,2,Red Hat Robbers,81,Triple Threat ,Jersey Shore Bank,location,colleenallen,60,10/27/2015-11:48:05,colleenallen,60,10/27/2015-11:55:35,FALSE
987,2,Red Hat Robbers,81,Triple Threat ,Male,person,,,10/27/2015-11:48:11,,,10/29/2015-11:49:39,TRUE
986,2,Red Hat Robbers,81,Triple Threat ,Jersey Shore Bank Robbery (#1),event,lez5038,32,10/27/2015-11:48:11,kmc6016,36,10/29/2015-11:24:02,FALSE
988,2,Red Hat Robbers,77,Caught red-handed,Two men,person,Nellson14,134,10/27/2015-11:48:11,Nellson14,134,10/27/2015-11:48:11,FALSE
989,2,Red Hat Robbers,87,TeamJaws,robber wore a red hat very low over his face and had brown beard.,person,epm5108,61,10/27/2015-11:48:16,epm5108,61,10/27/2015-11:48:16,FALSE
990,2,Red Hat Robbers,78,The Mystery Gang,Erika Keen,person,Francis,144,10/27/2015-11:48:30,Francis,144,10/27/2015-11:48:30,FALSE
991,2,Red Hat Robbers,79,JMN 231,Reliance Bank,location,jpz5064,139,10/27/2015-11:48:32,MattSebright20,140,10/29/2015-11:40:15,FALSE
992,2,Red Hat Robbers,87,TeamJaws,The suspect is seen entering the ATM lobby. He stands in front of the ATM but does not make a transaction,event,mjs6359,27,10/27/2015-11:48:33,mjs6359,27,10/27/2015-11:48:33,FALSE
993,2,Red Hat Robbers,83,GracieAbeMacy,Jersey Shore Bank,organization,rop5144,131,10/27/2015-11:48:34,rop5144,131,10/29/2015-11:36:25,TRUE
994,2,Red Hat Robbers,86,Team Eagle,Jersey Shore Bank,location,CamSabatini,78,10/27/2015-11:48:42,CamSabatini,78,10/27/2015-11:53:49,FALSE
995,2,Red Hat Robbers,101,Team DJZ,"2050 N. Atherton St. State College, PA",location,zmp5032,157,10/27/2015-11:48:43,jam6755,156,10/29/2015-11:36:43,TRUE
996,2,Red Hat Robbers,83,GracieAbeMacy,"2050 N. Atherton St. State College, PA",location,rop5144,131,10/27/2015-11:48:53,rop5144,131,10/29/2015-12:04:02,TRUE
997,2,Red Hat Robbers,81,Triple Threat ,Erin Hecker,person,lez5038,32,10/27/2015-11:48:55,lez5038,32,10/27/2015-11:51:13,FALSE
998,2,Red Hat Robbers,79,JMN 231,Sovereign Bank,location,jpz5064,139,10/27/2015-11:48:57,MattSebright20,140,10/29/2015-11:41:00,FALSE
999,2,Red Hat Robbers,87,TeamJaws,The bank‰Ûªs only two customers depart through the ATM lobby,event,mjs6359,27,10/27/2015-11:49:01,mjs6359,27,10/27/2015-11:49:01,FALSE
1000,2,Red Hat Robbers,78,The Mystery Gang,First National Bank Downtown,location,jsm5561,25,10/27/2015-11:49:01,jsm5561,25,10/27/2015-12:00:12,FALSE
1001,2,Red Hat Robbers,101,Team DJZ,white van,resource,jam6755,156,10/27/2015-11:49:07,jam6755,156,10/27/2015-11:52:04,FALSE
1002,2,Red Hat Robbers,87,TeamJaws,he just took the money and left.,event,epm5108,61,10/27/2015-11:49:07,epm5108,61,10/27/2015-11:49:07,FALSE
1003,2,Red Hat Robbers,78,The Mystery Gang,Joe Williamson,person,Francis,144,10/27/2015-11:49:08,Francis,144,10/27/2015-11:51:08,FALSE
1004,2,Red Hat Robbers,92,Red Hat Analysts ,"Because she had already begun her closeout,",event,cmg5726,133,10/27/2015-11:49:12,cmg5726,133,10/29/2015-11:41:46,TRUE
1005,2,Red Hat Robbers,81,Triple Threat ,Mark Haley,person,lez5038,32,10/27/2015-11:49:14,lez5038,32,10/27/2015-11:49:55,FALSE
1006,2,Red Hat Robbers,89,Team J.A.Z.,male with facial hair,person,AGParadis,145,10/27/2015-11:49:19,jtb5440,146,10/29/2015-11:30:58,FALSE
1007,2,Red Hat Robbers,83,GracieAbeMacy,Erin Hecker,person,rop5144,131,10/27/2015-11:49:22,rop5144,131,10/27/2015-11:57:40,FALSE
1009,2,Red Hat Robbers,82,Analyticats,Reliance Bank,location,Emelendez89,153,10/27/2015-11:49:23,Emelendez89,153,10/29/2015-11:26:11,FALSE
1008,2,Red Hat Robbers,79,JMN 231,First National Bank Downtown,location,jpz5064,139,10/27/2015-11:49:23,MattSebright20,140,10/29/2015-11:42:30,FALSE
1010,2,Red Hat Robbers,79,JMN 231,Mark Haley,person,MattSebright20,140,10/27/2015-11:49:26,jpz5064,139,10/27/2015-12:00:37,FALSE
1011,2,Red Hat Robbers,92,Red Hat Analysts ,Erin Hecker,person,des5491,44,10/27/2015-11:49:27,des5491,44,10/27/2015-11:51:02,FALSE
1012,2,Red Hat Robbers,87,TeamJaws,He turned right on N Atherton Street,location,epm5108,61,10/27/2015-11:49:31,epm5108,61,10/27/2015-11:49:31,FALSE
1013,2,Red Hat Robbers,79,JMN 231,Northwest SavingsBank,location,jpz5064,139,10/27/2015-11:49:40,MattSebright20,140,10/29/2015-11:44:07,FALSE
1014,2,Red Hat Robbers,86,Team Eagle,Reliance Bank,location,dkk5074,51,10/27/2015-11:49:41,CamSabatini,78,10/27/2015-11:53:35,FALSE
1017,2,Red Hat Robbers,92,Red Hat Analysts ,Mark Haley,person,des5491,44,10/27/2015-11:49:55,cmg5726,133,10/27/2015-12:00:22,FALSE
1015,2,Red Hat Robbers,87,TeamJaws,"non descript pale blue van,",resource,epm5108,61,10/27/2015-11:49:55,epm5108,61,10/27/2015-11:49:55,FALSE
1016,2,Red Hat Robbers,78,The Mystery Gang,Northwest SavingsBank,location,jsm5561,25,10/27/2015-11:49:55,jsm5561,25,10/27/2015-12:00:24,FALSE
1018,2,Red Hat Robbers,79,JMN 231,AmeriservFinancial,location,jpz5064,139,10/27/2015-11:49:59,jpz5064,139,11/01/2015-17:11:59,FALSE
1020,2,Red Hat Robbers,83,GracieAbeMacy,Mark Haley,person,rop5144,131,10/27/2015-11:50:08,pjg5172,136,10/29/2015-11:29:47,FALSE
1021,2,Red Hat Robbers,101,Team DJZ,lone white male (LWM),person,zmp5032,157,10/27/2015-11:50:11,zmp5032,157,10/27/2015-11:56:01,FALSE
1022,2,Red Hat Robbers,87,TeamJaws,"Suspect enters bank, pulls mask over face and bumps into form table",event,mjs6359,27,10/27/2015-11:50:14,mjs6359,27,10/27/2015-11:50:14,FALSE
1023,2,Red Hat Robbers,87,TeamJaws,Dunkin Donuts,location,asl5270,24,10/27/2015-11:50:15,asl5270,24,10/27/2015-11:50:15,FALSE
1024,2,Red Hat Robbers,78,The Mystery Gang,Patricia Shaffner,person,Francis,144,10/27/2015-11:50:16,Francis,144,10/27/2015-11:50:16,FALSE
1025,2,Red Hat Robbers,87,TeamJaws,which took off heading south.,location,epm5108,61,10/27/2015-11:50:24,epm5108,61,10/27/2015-11:50:24,FALSE
1026,2,Red Hat Robbers,90,MSR,Reliance Bank,location,mib5572,142,10/27/2015-11:50:27,mib5572,142,10/27/2015-11:50:27,FALSE
1027,2,Red Hat Robbers,85,Team CMP,Erin Hecker,person,PatB,149,10/27/2015-11:50:28,PatB,149,10/27/2015-11:50:28,FALSE
1028,2,Red Hat Robbers,87,TeamJaws,Suspect turns and runs from the bank,event,mjs6359,27,10/27/2015-11:50:32,mjs6359,27,10/27/2015-11:50:32,FALSE
1030,2,Red Hat Robbers,79,JMN 231,Citizen‰Ûªs Bank,location,jpz5064,139,10/27/2015-11:50:35,MattSebright20,140,10/29/2015-11:49:35,FALSE
1029,2,Red Hat Robbers,78,The Mystery Gang,Ameriserv Financial,location,jsm5561,25,10/27/2015-11:50:35,Francis,144,10/29/2015-11:29:40,FALSE
1031,2,Red Hat Robbers,86,Team Eagle,Erin Hecker,person,frk5020,147,10/27/2015-11:50:39,frk5020,147,10/27/2015-11:50:39,FALSE
1033,2,Red Hat Robbers,92,Red Hat Analysts ,"The teller handed over $1,000",event,cmg5726,133,10/27/2015-11:50:58,cmg5726,133,10/29/2015-11:41:41,TRUE
1035,2,Red Hat Robbers,101,Team DJZ,van,resource,zmp5032,157,10/27/2015-11:50:59,zmp5032,157,10/27/2015-11:50:59,FALSE
1034,2,Red Hat Robbers,81,Triple Threat ,van,resource,colleenallen,60,10/27/2015-11:50:59,kmc6016,36,10/29/2015-11:49:19,TRUE
1036,2,Red Hat Robbers,86,Team Eagle,Mark Haley,person,frk5020,147,10/27/2015-11:51:06,frk5020,147,10/27/2015-11:51:06,FALSE
1037,2,Red Hat Robbers,81,Triple Threat ,"$1,025",event,kmc6016,36,10/27/2015-11:51:07,kmc6016,36,10/29/2015-11:50:52,TRUE
1038,2,Red Hat Robbers,92,Red Hat Analysts ,Reliance Bank,location,wpg5026,34,10/27/2015-11:51:12,wpg5026,34,10/28/2015-14:18:23,FALSE
1039,2,Red Hat Robbers,78,The Mystery Gang,Citizen‰Ûªs Bank,location,jsm5561,25,10/27/2015-11:51:17,jsm5561,25,10/27/2015-12:01:10,FALSE
1041,2,Red Hat Robbers,79,JMN 231,enters the bank wearing a red ball cap and red shirt and backpack.,resource,nes5204,138,10/27/2015-11:51:35,nes5204,138,10/27/2015-11:51:35,FALSE
1042,2,Red Hat Robbers,82,Analyticats,LWM,person,PatrickAugust,46,10/27/2015-11:51:39,Emelendez89,153,10/27/2015-11:56:03,FALSE
1043,2,Red Hat Robbers,101,Team DJZ,Erin Hecker,person,zmp5032,157,10/27/2015-11:51:50,zmp5032,157,10/27/2015-11:51:50,FALSE
1044,2,Red Hat Robbers,79,JMN 231,Suspect is seen pacing in the parking lot of the bank until eventually putting on a hat and entering the bank,event,jpz5064,139,10/27/2015-11:52:04,jpz5064,139,10/27/2015-12:14:26,FALSE
1046,2,Red Hat Robbers,87,TeamJaws,Jersey Shore Bank,organization,,,10/27/2015-11:52:09,epm5108,61,10/27/2015-12:24:41,FALSE
1045,2,Red Hat Robbers,87,TeamJaws,12 Jan/4:25 PM,event,epm5108,61,10/27/2015-11:52:09,epm5108,61,10/27/2015-11:52:09,FALSE
1047,2,Red Hat Robbers,83,GracieAbeMacy,Street surveillance (external): Jersey Shore Bank,resource,rop5144,131,10/27/2015-11:52:10,rop5144,131,10/27/2015-11:52:10,FALSE
1048,2,Red Hat Robbers,78,The Mystery Gang,Dunkin Donuts,location,jsm5561,25,10/27/2015-11:52:10,jsm5561,25,10/27/2015-11:52:10,FALSE
1050,2,Red Hat Robbers,90,MSR,Sean McQueen,person,RichardFabrizio,77,10/27/2015-11:52:27,RichardFabrizio,77,10/27/2015-11:52:27,FALSE
1051,2,Red Hat Robbers,77,Caught red-handed,Citizen‰Ûªs Bank,location,Nellson14,134,10/27/2015-11:52:36,LorenzoAuffant,54,11/01/2015-14:29:10,FALSE
1052,2,Red Hat Robbers,85,Team CMP,Mark Haley,person,cjs1161,148,10/27/2015-11:52:41,cjs1161,148,10/27/2015-11:52:41,FALSE
1054,2,Red Hat Robbers,89,Team J.A.Z.,Jersey Shore Bank,location,zcm5026,143,10/27/2015-11:52:47,zcm5026,143,10/27/2015-12:10:10,FALSE
1053,2,Red Hat Robbers,89,Team J.A.Z.,Jersey Shore Bank Robbery,event,zcm5026,143,10/27/2015-11:52:47,zcm5026,143,10/27/2015-12:22:28,FALSE
1055,2,Red Hat Robbers,77,Caught red-handed,"lone white male (LWM) handed a teller a note demanding money. Because she had already begun her closeout, she had only a small amount of money in her drawer",event,davidsmitchell,65,10/27/2015-11:52:47,davidsmitchell,65,10/27/2015-11:52:48,FALSE
1056,2,Red Hat Robbers,77,Caught red-handed,Jersey Shore Bank,location,davidsmitchell,65,10/27/2015-11:52:48,LorenzoAuffant,54,11/01/2015-14:28:09,FALSE
1057,2,Red Hat Robbers,89,Team J.A.Z.,"white male, clean-shaven",person,AGParadis,145,10/27/2015-11:52:49,jtb5440,146,10/29/2015-11:30:15,FALSE
1058,2,Red Hat Robbers,78,The Mystery Gang,white van.,resource,chsisley,62,10/27/2015-11:52:58,chsisley,62,10/27/2015-12:12:58,FALSE
1059,2,Red Hat Robbers,90,MSR,Erin Hecker,person,mib5572,142,10/27/2015-11:53:00,mib5572,142,10/27/2015-11:53:00,FALSE
1061,2,Red Hat Robbers,101,Team DJZ,Reliance Bank,location,jam6755,156,10/27/2015-11:53:03,jam6755,156,10/27/2015-11:56:07,FALSE
1060,2,Red Hat Robbers,81,Triple Threat ,white van,resource,kmc6016,36,10/27/2015-11:53:03,kmc6016,36,10/29/2015-11:49:28,TRUE
1062,2,Red Hat Robbers,82,Analyticats,Erin Hecker,person,PatrickAugust,46,10/27/2015-11:53:06,gkw5026,141,10/29/2015-11:22:56,FALSE
1063,2,Red Hat Robbers,92,Red Hat Analysts ,"He was seen exiting the bank and getting into a van, which took off heading south on Atherton St.",event,cmg5726,133,10/27/2015-11:53:08,cmg5726,133,10/29/2015-11:42:25,TRUE
1064,2,Red Hat Robbers,90,MSR,Jacky Shortledge,person,RichardFabrizio,77,10/27/2015-11:53:11,RichardFabrizio,77,10/27/2015-11:53:11,FALSE
1065,2,Red Hat Robbers,83,GracieAbeMacy,Reliance Bank,location,njh5161,151,10/27/2015-11:53:12,pjg5172,136,10/29/2015-12:01:30,FALSE
1066,2,Red Hat Robbers,86,Team Eagle,LWM,person,frk5020,147,10/27/2015-11:53:15,frk5020,147,10/27/2015-12:14:24,TRUE
1067,2,Red Hat Robbers,101,Team DJZ,"G W Auto Collision Repair, 130 Hawbaker Industrial Dr.",location,dfl5057,155,10/27/2015-11:53:18,dfl5057,155,10/27/2015-11:53:18,FALSE
1068,2,Red Hat Robbers,79,JMN 231,Suspect is shown running down N Atherton and jumping the passenger side of a white van,event,jpz5064,139,10/27/2015-11:53:18,jpz5064,139,10/27/2015-12:14:34,FALSE
1069,2,Red Hat Robbers,90,MSR,Mark Haley,person,mib5572,142,10/27/2015-11:53:24,mib5572,142,10/27/2015-11:53:24,FALSE
1070,2,Red Hat Robbers,101,Team DJZ,Mark Haley,person,zmp5032,157,10/27/2015-11:53:25,zmp5032,157,10/27/2015-11:53:25,FALSE
1071,2,Red Hat Robbers,92,Red Hat Analysts ,Atherton St.,location,cmg5726,133,10/27/2015-11:53:29,cmg5726,133,10/29/2015-11:42:37,TRUE
1072,2,Red Hat Robbers,92,Red Hat Analysts ,4:29 PM: Suspect is shown departing the bank after stuffing the bank bag into his backpack,event,wpg5026,34,10/27/2015-11:53:31,wpg5026,34,10/29/2015-11:41:30,TRUE
1073,2,Red Hat Robbers,101,Team DJZ,"Ishler‰Ûªs Plumbing & Heating, Bellefonte, PA",location,dfl5057,155,10/27/2015-11:53:35,dfl5057,155,10/27/2015-11:53:35,FALSE
1076,2,Red Hat Robbers,85,Team CMP,Jersey Shore Bank,organization,,,10/27/2015-11:53:37,mikemorelli,132,10/27/2015-12:21:05,FALSE
1075,2,Red Hat Robbers,85,Team CMP,"2050 N. Atherton St. State College, PA",location,mikemorelli,132,10/27/2015-11:53:37,mikemorelli,132,10/27/2015-11:53:37,FALSE
1074,2,Red Hat Robbers,85,Team CMP,handed a teller a note demanding money,event,mikemorelli,132,10/27/2015-11:53:37,mikemorelli,132,11/01/2015-13:05:40,FALSE
1077,2,Red Hat Robbers,101,Team DJZ,Reliance Bank Robbery,event,jam6755,156,10/27/2015-11:54:01,jam6755,156,11/01/2015-14:40:25,FALSE
1078,2,Red Hat Robbers,77,Caught red-handed,Robber of Dunkin Donuts,person,LorenzoAuffant,54,10/27/2015-11:54:02,Nellson14,134,10/29/2015-11:32:15,FALSE
1079,2,Red Hat Robbers,87,TeamJaws,4:15 PM: Suspect seen approaching the bank from Patton Ln.,event,epm5108,61,10/27/2015-11:54:04,epm5108,61,10/27/2015-11:56:56,FALSE
1080,2,Red Hat Robbers,83,GracieAbeMacy,4:15 PM: Suspect seen approaching the bank from Patton Ln.,event,rop5144,131,10/27/2015-11:54:05,rop5144,131,10/29/2015-12:04:19,TRUE
1081,2,Red Hat Robbers,77,Caught red-handed,Bank Manager,person,Nellson14,134,10/27/2015-11:54:08,Nellson14,134,10/27/2015-11:54:08,FALSE
1082,2,Red Hat Robbers,87,TeamJaws,A single brown leather glove is found in the ATM lobby,resource,mjs6359,27,10/27/2015-11:54:15,mjs6359,27,10/27/2015-11:54:15,FALSE
1083,2,Red Hat Robbers,78,The Mystery Gang,white van,resource,chsisley,62,10/27/2015-11:54:17,chsisley,62,10/27/2015-11:54:17,FALSE
1085,2,Red Hat Robbers,79,JMN 231,lone white male/Jersey Shore suspect,person,MattSebright20,140,10/27/2015-11:54:23,MattSebright20,140,10/27/2015-12:13:25,FALSE
1087,2,Red Hat Robbers,92,Red Hat Analysts ,Sovereign Bank,location,des5491,44,10/27/2015-11:54:30,des5491,44,10/27/2015-11:55:02,FALSE
1088,2,Red Hat Robbers,89,Team J.A.Z.,Reliance Bank,location,AGParadis,145,10/27/2015-11:54:33,AGParadis,145,10/27/2015-11:54:33,FALSE
1089,2,Red Hat Robbers,77,Caught red-handed,Erin Hecker,person,davidsmitchell,65,10/27/2015-11:54:34,davidsmitchell,65,10/27/2015-11:54:34,FALSE
1090,2,Red Hat Robbers,101,Team DJZ,Jersey Shore Bank robbery,event,jam6755,156,10/27/2015-11:54:46,jam6755,156,11/01/2015-14:39:58,FALSE
1091,2,Red Hat Robbers,86,Team Eagle,Erika Keen,person,frk5020,147,10/27/2015-11:54:47,frk5020,147,10/27/2015-11:54:47,FALSE
1093,2,Red Hat Robbers,89,Team J.A.Z.,Erin Hecker,person,zcm5026,143,10/27/2015-11:55:03,zcm5026,143,10/27/2015-12:06:19,FALSE
1094,2,Red Hat Robbers,86,Team Eagle,Sovereign Bank,location,CamSabatini,78,10/27/2015-11:55:27,dkk5074,51,10/27/2015-11:55:28,FALSE
1095,2,Red Hat Robbers,87,TeamJaws,No words were ever exchanged and no money was taken,event,mjs6359,27,10/27/2015-11:55:36,mjs6359,27,10/27/2015-11:55:36,FALSE
1096,2,Red Hat Robbers,79,JMN 231,Erika Keen,person,nes5204,138,10/27/2015-11:55:36,nes5204,138,10/27/2015-12:25:42,FALSE
1097,2,Red Hat Robbers,77,Caught red-handed,Mark Haley,person,davidsmitchell,65,10/27/2015-11:55:40,davidsmitchell,65,10/27/2015-11:55:40,FALSE
1098,2,Red Hat Robbers,92,Red Hat Analysts ,white van,resource,wpg5026,34,10/27/2015-11:55:42,cmg5726,133,10/30/2015-12:47:16,FALSE
1099,2,Red Hat Robbers,77,Caught red-handed,At 10:10 AM video surveillance shows a man enter the ATM lobby,event,LorenzoAuffant,54,10/27/2015-11:55:44,LorenzoAuffant,54,10/27/2015-11:55:58,FALSE
