group,user,time,action,object,tool
77,54,2015/10/27 12:16:24,read,resource,document
77,54,2015/10/27 12:16:24,read,annotation,document
77,54,2015/10/27 12:16:26,read,resource,document
77,54,2015/10/27 12:16:26,read,annotation,document
77,54,2015/10/27 12:16:30,read,resource,document
77,54,2015/10/27 12:16:30,read,annotation,document
77,54,2015/10/27 12:16:31,read,resource,document
77,54,2015/10/27 12:16:31,read,annotation,document
77,54,2015/10/27 12:17:43,created,location,document
77,54,2015/10/27 12:17:43,created,annotation,document
77,54,2015/10/27 12:17:46,read,resource,document
77,54,2015/10/27 12:17:46,read,location,document
77,54,2015/10/27 12:17:46,read,annotation,document
77,54,2015/10/27 12:17:52,read,resource,document
77,54,2015/10/27 12:17:52,read,annotation,document
77,54,2015/10/27 12:17:54,read,location,document
77,54,2015/10/27 12:17:54,read,resource,document
77,54,2015/10/27 12:17:54,read,annotation,document
77,54,2015/10/27 12:18:29,focused,notepad,notepad
77,54,2015/10/27 12:18:32,focused,network,network
77,54,2015/10/27 12:19:11,focused,network,network
77,54,2015/10/27 12:20:45,created,location,document
77,54,2015/10/27 12:20:45,created,annotation,document
77,54,2015/10/27 12:21:28,created,person,document
77,54,2015/10/27 12:21:28,created,annotation,document
77,54,2015/10/27 12:22:05,created,person,document
77,54,2015/10/27 12:22:05,created,annotations,document
77,54,2015/10/27 12:22:08,read,person,document
77,54,2015/10/27 12:22:08,read,annotation,document
77,54,2015/10/27 12:22:16,updated,person,document
77,54,2015/10/27 12:22:16,updated,annotations,document
77,54,2015/10/27 12:22:22,read,person,document
77,54,2015/10/27 12:22:22,read,annotation,document
77,54,2015/10/27 12:22:39,updated,person,document
77,54,2015/10/27 12:22:39,updated,annotations,document
77,54,2015/10/27 12:22:40,read,person,document
77,54,2015/10/27 12:22:40,read,annotation,document
77,54,2015/10/27 12:22:46,deleted,annotation,document
77,54,2015/10/27 12:22:56,updated,person,document
77,54,2015/10/27 12:22:56,created,annotations,document
77,54,2015/10/27 12:23:33,created,person,document
77,54,2015/10/27 12:23:33,created,annotations,document
77,54,2015/10/27 12:24:55,created,relationship,document
77,54,2015/10/27 12:24:55,created,event,document
77,54,2015/10/27 12:24:55,created,annotation,document
77,54,2015/10/27 12:24:56,read,event,document
77,54,2015/10/27 12:24:56,read,annotation,document
77,54,2015/10/27 12:26:06,created,event,document
77,54,2015/10/27 12:26:06,created,relationship,document
77,54,2015/10/27 12:26:06,created,annotation,document
77,54,2015/10/29 11:16:50,focused,document,document
77,54,2015/10/29 11:17:03,read,location,document
77,54,2015/10/29 11:17:03,read,annotation,document
77,54,2015/10/29 11:18:10,read,event,document
77,54,2015/10/29 11:18:10,read,annotation,document
77,54,2015/10/29 11:18:19,read,person,document
77,54,2015/10/29 11:18:19,read,annotation,document
77,54,2015/10/29 11:18:28,read,location,document
77,54,2015/10/29 11:18:28,read,annotation,document
77,54,2015/10/29 11:18:30,read,person,document
77,54,2015/10/29 11:18:30,read,event,document
77,54,2015/10/29 11:18:30,read,annotation,document
77,54,2015/10/29 11:18:32,read,event,document
77,54,2015/10/29 11:18:32,read,person,document
77,54,2015/10/29 11:18:32,read,annotation,document
77,54,2015/10/29 11:18:41,read,person,document
77,54,2015/10/29 11:18:41,read,annotation,document
77,54,2015/10/29 11:18:48,read,event,document
77,54,2015/10/29 11:18:48,read,annotation,document
77,54,2015/10/29 11:20:39,read,person,document
77,54,2015/10/29 11:20:39,read,annotation,document
77,54,2015/10/29 11:20:46,read,location,document
77,54,2015/10/29 11:20:46,read,annotation,document
77,54,2015/10/29 11:20:49,read,person,document
77,54,2015/10/29 11:20:49,read,annotation,document
77,54,2015/10/29 11:20:50,read,event,document
77,54,2015/10/29 11:20:50,read,annotation,document
77,54,2015/10/29 11:20:52,read,event,document
77,54,2015/10/29 11:20:52,read,annotation,document
77,54,2015/10/29 11:21:35,focused,map,map
77,54,2015/10/29 11:21:46,read,location,map
77,54,2015/10/29 11:22:00,focused,document,document
77,54,2015/10/29 11:23:38,read,event,document
77,54,2015/10/29 11:23:38,read,annotation,document
77,54,2015/10/29 11:24:24,read,event,document
77,54,2015/10/29 11:24:24,read,annotation,document
77,54,2015/10/29 11:24:33,focused,document,document
77,54,2015/10/29 11:24:33,focused,map,map
77,54,2015/10/29 11:24:38,focused,document,document
77,54,2015/10/29 11:24:45,read,event,document
77,54,2015/10/29 11:24:45,read,annotation,document
77,54,2015/10/29 11:24:51,deleted,annotation,document
77,54,2015/10/29 11:24:52,focused,document,document
77,54,2015/10/29 11:24:52,read,event,document
77,54,2015/10/29 11:24:52,read,annotation,document
77,54,2015/10/29 11:24:53,focused,document,document
77,54,2015/10/29 11:24:53,focused,map,map
77,54,2015/10/29 11:24:53,focused,map,map
77,54,2015/10/29 11:24:54,focused,document,document
77,54,2015/10/29 11:24:54,focused,document,document
77,54,2015/10/29 11:24:54,focused,map,map
77,54,2015/10/29 11:25:00,read,event,document
77,54,2015/10/29 11:25:00,read,annotation,document
77,54,2015/10/29 11:25:03,read,event,document
77,54,2015/10/29 11:25:03,read,annotation,document
77,54,2015/10/29 11:25:06,deleted,annotation,document
77,54,2015/10/29 11:25:08,read,event,document
77,54,2015/10/29 11:25:08,read,annotation,document
77,54,2015/10/29 11:25:10,deleted,annotation,document
77,54,2015/10/29 11:25:25,focused,document,document
77,54,2015/10/29 11:25:25,focused,map,map
77,54,2015/10/29 11:25:26,focused,document,document
77,54,2015/10/29 11:25:26,focused,map,map
77,54,2015/10/29 11:25:27,focused,document,document
77,54,2015/10/29 11:25:27,focused,map,map
77,54,2015/10/29 11:25:28,focused,document,document
77,54,2015/10/29 11:25:28,focused,document,document
77,54,2015/10/29 11:25:28,focused,map,map
77,54,2015/10/29 11:27:16,created,event,document
77,54,2015/10/29 11:27:17,created,relationship,document
77,54,2015/10/29 11:27:17,created,annotation,document
77,54,2015/10/29 11:27:21,read,resource,document
77,54,2015/10/29 11:27:21,read,annotation,document
77,54,2015/10/29 11:27:22,read,resource,document
77,54,2015/10/29 11:27:22,read,annotation,document
77,54,2015/10/29 11:27:23,read,resource,document
77,54,2015/10/29 11:27:23,read,annotation,document
77,54,2015/10/29 11:27:25,read,resource,document
77,54,2015/10/29 11:27:25,read,annotation,document
77,54,2015/10/29 11:27:35,read,resource,document
77,54,2015/10/29 11:27:35,read,annotation,document
77,54,2015/10/29 11:27:35,updated,resource,document
77,54,2015/10/29 11:27:35,updated,annotation,document
77,54,2015/10/29 11:27:44,read,resource,document
77,54,2015/10/29 11:27:44,read,annotation,document
77,54,2015/10/29 11:27:49,deleted,annotation,document
77,54,2015/10/29 11:27:50,read,resource,document
77,54,2015/10/29 11:27:50,read,annotation,document
77,54,2015/10/29 11:27:52,deleted,annotation,document
77,54,2015/10/29 11:27:54,read,resource,document
77,54,2015/10/29 11:27:54,read,annotation,document
77,54,2015/10/29 11:27:57,deleted,annotation,document
77,54,2015/10/29 11:27:58,read,resource,document
77,54,2015/10/29 11:27:58,read,annotation,document
77,54,2015/10/29 11:28:01,read,resource,document
77,54,2015/10/29 11:28:01,read,annotation,document
77,54,2015/10/29 11:28:01,deleted,annotation,document
77,54,2015/10/29 11:28:07,focused,document,document
77,54,2015/10/29 11:28:07,focused,map,map
77,54,2015/10/29 11:28:08,focused,document,document
77,54,2015/10/29 11:28:08,focused,document,document
77,54,2015/10/29 11:28:08,focused,document,document
77,54,2015/10/29 11:28:08,focused,map,map
77,54,2015/10/29 11:28:08,focused,map,map
77,54,2015/10/29 11:28:08,focused,map,map
77,54,2015/10/29 11:28:09,focused,document,document
77,54,2015/10/29 11:28:09,focused,document,document
77,54,2015/10/29 11:28:09,focused,map,map
77,54,2015/10/29 11:28:09,focused,map,map
77,54,2015/10/29 11:28:10,focused,document,document
77,54,2015/10/29 11:28:10,focused,document,document
77,54,2015/10/29 11:28:10,focused,document,document
77,54,2015/10/29 11:28:10,focused,map,map
77,54,2015/10/29 11:28:11,focused,document,document
77,54,2015/10/29 11:28:11,focused,document,document
77,54,2015/10/29 11:28:11,focused,map,map
77,54,2015/10/29 11:28:18,focused,document,document
77,54,2015/10/29 11:28:18,focused,document,document
77,54,2015/10/29 11:28:18,focused,document,document
77,54,2015/10/29 11:28:18,focused,map,map
77,54,2015/10/29 11:28:18,focused,map,map
77,54,2015/10/29 11:28:18,focused,map,map
77,54,2015/10/29 11:28:19,focused,document,document
77,54,2015/10/29 11:28:19,focused,document,document
77,54,2015/10/29 11:28:19,focused,map,map
77,54,2015/10/29 11:28:19,focused,map,map
77,54,2015/10/29 11:28:20,focused,document,document
77,54,2015/10/29 11:28:20,focused,document,document
77,54,2015/10/29 11:28:20,focused,document,document
77,54,2015/10/29 11:28:20,focused,map,map
77,54,2015/10/29 11:28:21,focused,document,document
77,54,2015/10/29 11:28:21,focused,map,map
77,54,2015/10/29 11:28:21,focused,map,map
77,54,2015/10/29 11:28:22,focused,document,document
77,54,2015/10/29 11:28:32,focused,document,document
77,54,2015/10/29 11:28:39,focused,document,document
77,54,2015/10/29 11:28:40,focused,map,map
77,54,2015/10/29 11:28:41,focused,document,document
77,54,2015/10/29 11:28:44,focused,document,document
77,54,2015/10/29 11:28:44,focused,map,map
77,54,2015/10/29 11:28:45,focused,document,document
77,54,2015/10/29 11:28:45,focused,map,map
77,54,2015/10/29 11:28:48,focused,document,document
77,54,2015/10/29 11:28:49,read,event,document
77,54,2015/10/29 11:28:49,read,annotation,document
77,54,2015/10/29 11:29:04,read,event,document
77,54,2015/10/29 11:29:04,read,annotation,document
77,54,2015/10/29 11:29:48,created,resource,document
77,54,2015/10/29 11:29:48,created,annotations,document
77,54,2015/10/29 11:30:14,read,location,document
77,54,2015/10/29 11:30:14,read,annotation,document
77,54,2015/10/29 11:30:47,read,person,document
77,54,2015/10/29 11:30:47,read,annotation,document
77,54,2015/10/29 11:30:48,read,event,document
77,54,2015/10/29 11:30:48,read,annotation,document
77,54,2015/10/29 11:33:08,read,person,document
77,54,2015/10/29 11:33:08,read,annotation,document
77,54,2015/10/29 11:33:22,read,person,document
77,54,2015/10/29 11:33:22,read,annotation,document
77,54,2015/10/29 11:33:29,read,person,document
77,54,2015/10/29 11:33:29,read,annotation,document
77,54,2015/10/29 11:34:57,updated,event,document
77,54,2015/10/29 11:34:57,created,relationship,document
77,54,2015/10/29 11:34:57,created,annotations,document
77,54,2015/10/29 11:35:08,read,location,document
77,54,2015/10/29 11:35:08,read,annotation,document
77,54,2015/10/29 11:35:11,read,relationship,document
77,54,2015/10/29 11:35:11,read,annotation,document
77,54,2015/10/29 11:35:32,updated,relationship,document
77,54,2015/10/29 11:35:32,updated,annotations,document
77,54,2015/10/29 11:35:35,read,location,document
77,54,2015/10/29 11:35:35,read,annotation,document
77,54,2015/10/29 11:35:36,read,location,document
77,54,2015/10/29 11:35:36,read,annotation,document
77,54,2015/10/29 11:35:39,read,location,document
77,54,2015/10/29 11:35:39,read,annotation,document
77,54,2015/10/29 11:35:42,deleted,annotation,document
77,54,2015/10/29 11:35:49,read,person,document
77,54,2015/10/29 11:35:49,read,annotation,document
77,54,2015/10/29 11:35:50,read,person,document
77,54,2015/10/29 11:35:50,read,annotation,document
77,54,2015/10/29 11:36:07,read,person,document
77,54,2015/10/29 11:36:07,read,annotation,document
77,54,2015/10/29 11:36:12,read,person,document
77,54,2015/10/29 11:36:12,read,annotation,document
77,54,2015/10/29 11:36:13,read,person,document
77,54,2015/10/29 11:36:13,read,annotation,document
77,54,2015/10/29 11:37:43,created,relationship,document
77,54,2015/10/29 11:37:43,updated,event,document
77,54,2015/10/29 11:37:43,created,annotations,document
77,54,2015/10/29 11:37:47,read,person,document
77,54,2015/10/29 11:37:47,read,annotation,document
77,54,2015/10/29 11:37:47,read,relationship,document
77,54,2015/10/29 11:37:47,read,annotation,document
77,54,2015/10/29 11:38:14,read,person,document
77,54,2015/10/29 11:38:14,read,annotation,document
77,54,2015/10/29 11:38:51,updated,person,document
77,54,2015/10/29 11:38:51,updated,annotations,document
77,54,2015/10/29 11:38:53,read,person,document
77,54,2015/10/29 11:38:53,read,annotation,document
77,54,2015/10/29 11:38:54,read,person,document
77,54,2015/10/29 11:38:54,read,relationship,document
77,54,2015/10/29 11:38:54,read,annotation,document
77,54,2015/10/29 11:39:25,updated,person,document
77,54,2015/10/29 11:39:25,updated,annotations,document
77,54,2015/10/29 11:39:28,read,person,document
77,54,2015/10/29 11:39:28,read,annotation,document
77,54,2015/10/29 11:39:44,read,resource,document
77,54,2015/10/29 11:39:44,read,annotation,document
77,54,2015/10/29 11:40:21,read,person,document
77,54,2015/10/29 11:40:21,read,annotation,document
77,54,2015/10/29 11:40:33,read,event,document
77,54,2015/10/29 11:40:33,read,annotation,document
77,54,2015/10/29 11:40:35,read,event,document
77,54,2015/10/29 11:40:35,read,annotation,document
77,54,2015/10/29 11:40:37,deleted,annotation,document
77,54,2015/10/29 11:40:38,read,event,document
77,54,2015/10/29 11:40:38,read,annotation,document
77,54,2015/10/29 11:40:40,deleted,annotation,document
77,54,2015/10/29 11:42:29,created,relationship,document
77,54,2015/10/29 11:42:29,created,event,document
77,54,2015/10/29 11:42:29,created,annotation,document
77,54,2015/10/29 11:43:11,created,relationship,document
77,54,2015/10/29 11:43:11,updated,event,document
77,54,2015/10/29 11:43:11,created,annotation,document
77,54,2015/10/29 11:43:16,focused,network,network
77,54,2015/10/29 11:43:20,read,resource,network
77,54,2015/10/29 11:43:22,read,event,network
77,54,2015/10/29 11:43:33,focused,document,document
77,54,2015/10/29 11:43:35,read,person,document
77,54,2015/10/29 11:43:35,read,annotation,document
77,54,2015/10/29 11:43:39,read,person,document
77,54,2015/10/29 11:43:39,read,annotation,document
77,54,2015/10/29 11:43:46,read,relationship,document
77,54,2015/10/29 11:43:46,read,annotation,document
77,54,2015/10/29 11:44:25,focused,network,network
77,54,2015/10/29 11:44:33,read,person,network
77,54,2015/10/29 11:44:43,read,person,network
77,54,2015/10/29 11:44:48,read,person,network
77,54,2015/10/29 11:44:51,read,person,network
77,54,2015/10/29 11:45:07,read,person,document
77,54,2015/10/29 11:45:07,read,annotation,document
77,54,2015/10/29 11:45:14,read,relationship,document
77,54,2015/10/29 11:45:14,read,annotation,document
77,54,2015/10/29 11:47:31,read,location,document
77,54,2015/10/29 11:47:31,read,annotation,document
77,54,2015/10/29 11:47:56,read,person,document
77,54,2015/10/29 11:47:56,read,annotation,document
77,54,2015/10/29 11:48:07,read,person,document
77,54,2015/10/29 11:48:07,read,annotation,document
77,54,2015/10/29 11:48:19,read,person,document
77,54,2015/10/29 11:48:19,read,annotation,document
77,54,2015/10/29 11:49:54,created,relationship,document
77,54,2015/10/29 11:49:54,created,event,document
77,54,2015/10/29 11:49:54,created,annotation,document
77,54,2015/10/29 11:49:59,read,event,document
77,54,2015/10/29 11:49:59,read,annotation,document
77,54,2015/10/29 11:50:20,read,person,document
77,54,2015/10/29 11:50:20,read,annotation,document
77,54,2015/10/29 11:50:23,read,person,document
77,54,2015/10/29 11:50:23,read,annotation,document
77,54,2015/10/29 11:50:38,read,event,document
77,54,2015/10/29 11:50:38,read,annotation,document
77,54,2015/10/29 11:50:41,read,person,document
77,54,2015/10/29 11:50:41,read,annotation,document
77,54,2015/10/29 11:52:04,created,person,document
77,54,2015/10/29 11:52:04,created,annotations,document
77,54,2015/10/29 11:54:06,created,location,document
