ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted,Source ID,Source Name,Source Type,Target ID,Target Name,Target Type
4192,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:40:15,szc5510,184,11/16/2016-13:40:15,False,4313,9/7/2015,event,3552,Riley,person
4191,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:40:06,cke5030,182,11/16/2016-13:40:06,False,4312,works out,event,4197,White Building,location
4190,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:40:06,cke5030,182,11/16/2016-13:40:06,False,4312,works out,event,3935,Vanesa,person
4189,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/16/2016-13:39:47,bxb5268,197,11/16/2016-13:39:47,False,4311,7:50 and 8:10am,event,3448,Pattee Library,location
4188,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/16/2016-13:39:47,bxb5268,197,11/16/2016-13:39:47,False,4311,7:50 and 8:10am,event,3496,Cristian,person
4186,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:39:41,edc5129,180,11/16/2016-13:39:41,False,4308,Circuits & Devices,event,4309,EE Dantet 109,location
4184,4,Laptop Theft,160,Team Awesome ,involve,relationship,ktv5020,126,11/16/2016-13:39:27,ktv5020,126,11/16/2016-13:39:27,False,3932,Starbucks on College Ave.,event,3470,Starbucks on College Ave.,location
4182,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:39:20,cke5030,182,11/16/2016-13:39:20,False,4305,swims,event,4306,Outdoor Pool,location
4181,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:39:20,cke5030,182,11/16/2016-13:39:20,False,4305,swims,event,4168,Sean,person
4179,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:38:43,szc5510,184,11/16/2016-13:38:43,False,4303,$820.00,event,3535,Isabel,person
4178,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:38:33,edc5129,180,11/16/2016-13:38:33,False,4301,Practicum: Japanese Translation Service,event,4302,Schlow Centre Region Library,location
4176,4,Laptop Theft,160,Team Awesome ,involve,relationship,jda5248,189,11/16/2016-13:38:11,jda5248,189,11/16/2016-13:38:11,False,3932,Starbucks on College Ave.,event,3470,Starbucks on College Ave.,location
4175,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:37:48,cke5030,182,11/16/2016-13:37:48,False,3994,Unknown,event,3935,Vanesa,person
4174,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:37:43,szc5510,184,11/16/2016-13:37:43,False,4298,"$1,000.00",event,3552,Riley,person
4173,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/16/2016-13:37:36,,,11/16/2016-13:37:36,False,3402,Ariana,person,3982,Riley,person
4171,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/16/2016-13:36:54,,,11/16/2016-13:36:54,False,3402,Ariana,person,4209,Kristin,person
4170,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:36:52,edc5129,180,11/16/2016-13:36:52,False,4295,Japanese Literature,event,4296,Willard 211,location
4168,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/16/2016-13:36:17,,,11/16/2016-13:36:18,False,3402,Ariana,person,3420,Frank,person
4167,4,Laptop Theft,166,Team01,involve,relationship,cke5030,182,11/16/2016-13:36:15,cke5030,182,11/16/2016-13:36:15,False,3994,Unknown,event,4074,Riley,person
